,0
0,1518.0378709929282
1,5978.546917351485
2,7332.97917686431
3,2449.897230962444
4,4210.645521634602
5,4023.465137772664
6,3210.0509460532794
7,3663.75266985475
8,7522.422653759679
9,6927.067176012091
10,1314.427205524541
11,4149.342568626465
12,7585.9996786316515
13,6360.597960198813
14,3555.2696778287645
15,6994.65090499484
16,7431.919511631348
17,1619.7647048677636
18,5036.471237553309
19,3128.3724666632734
20,4467.655391980619
21,5974.270791123996
22,4272.979102139283
23,7159.5262378709285
24,7496.104595018363
25,4003.225236060397
26,8008.364094668581
27,4154.213936738637
28,4481.765883578377
29,4598.0612710728365
30,7151.9003246504435
31,3650.185060447331
32,1734.3825917125632
33,4962.896665402675
34,2816.3503964197334
35,5243.466330519594
36,4435.521792778192
37,4154.085872733383
38,4653.517752254647
39,4663.514322699546
40,4269.483283649419
41,3059.3882061160257
42,4420.053175087904
43,3148.1531906373557
44,7124.986579962393
45,1082.0420442284685
46,6327.762765917638
47,4668.395277381871
48,6785.674340446962
49,796.3201486378421
50,2704.4937293436687
51,3920.4375741603317
52,5843.6815467347315
53,4276.5289319149015
54,4990.790443701828
55,6987.269835577692
56,4307.389949320988
57,3566.9947758145836
58,3867.5010063621185
59,2758.7058713905053
60,3902.8808896698556
61,7565.848797775647
62,3218.1437650319094
63,2380.2967783356744
64,1128.488527751454
65,1824.6214084420753
66,2888.7813133197205
67,1792.0268106790536
68,2296.201341930513
69,7588.315218837881
70,3273.254151767441
71,7106.484797583573
72,3769.774356624087
73,6447.544205184862
74,4665.621835832593
75,3378.1219407513754
76,5492.920072715655
77,4940.113340340353
78,2257.338831154837
79,2275.7738908192423
80,566.430792924747
81,6937.526760779905
82,5034.124111103045
83,4940.604337646835
84,7354.351623601715
85,4179.7774886956995
86,4164.326466767881
87,6022.315906345912
88,7295.391933847817
89,4079.333214456139
90,6724.528274413024
91,6062.425725571784
92,7233.00320150786
93,7252.635561164017
94,4179.318166074881
95,5039.83483501835
96,3321.3413117278205
97,6095.39862503786
98,3879.1087062303804
99,3635.928391108244
100,4763.370194752044
101,4522.134207578802
102,4560.1064544819765
103,8092.227960622977
104,4374.422667697701
105,1880.7002197027323
106,3350.066451507015
107,5190.466250234536
108,5702.70258938137
109,5260.400706804394
110,4177.017800606018
111,3874.2009123299877
112,6737.238358359675
113,3206.5943194684096
114,4108.853133823994
115,1958.6252068272825
116,1661.4055709685108
117,5647.725217793652
118,4489.412396201666
119,4025.203636358223
120,4896.958351911966
121,6681.713043738271
122,5030.878129028371
123,5840.77613270037
124,6662.602164664879
125,3298.7943206237233
126,1517.2833454022602
127,6667.926942581782
128,2999.0585656022376
129,5420.776628968662
130,793.4715824999375
131,4591.751654829099
132,5490.173222144156
133,6370.686457649868
134,5861.276087261358
135,3938.0180676026175
136,4381.856231089454
137,6372.057160120779
138,1696.2259413073043
139,4364.304586738561
140,3904.917398111221
141,2898.119460519958
142,7351.307048960101
143,5982.136273238975
144,7502.438104117229
145,4653.204800339405
146,4366.404451077067
147,5077.209075826608
148,7546.1096540353665
149,1535.7451645810788
150,5140.6302176832105
151,7138.919913509921
152,3658.575575102215
153,1620.4096769140779
154,8117.444753616022
155,7150.191043154831
156,6975.351617500788
157,6670.703591184698
158,6624.098268241332
159,7062.5930692080055
160,7380.960123737455
161,2046.7013708671075
162,4262.072110410316
163,6491.861594253347
164,4849.023974015774
165,5140.883645841546
166,4734.270128831886
167,5706.463412139496
168,7353.179362483119
169,4274.641661578762
170,4327.432920932075
171,7663.711964204711
172,5045.0604643749375
173,7253.246718163862
174,5315.7337962835645
175,2535.99070162891
176,4980.230029893799
177,7413.208982937978
178,5642.475116059981
179,2049.643166601274
180,1760.312929863324
181,7910.709764487094
182,6386.94762424271
183,3784.7242461063715
184,2168.241701483844
185,3707.8881088402813
186,216.20028513003308
187,3702.724833892463
188,5867.961835832146
189,5161.775841655581
190,1858.2512446833216
191,7486.773131067886
192,1152.0587261997248
193,4167.986539625112
194,3909.409903268105
195,3722.5852647922184
196,4144.887154154412
197,2929.804582584098
198,2020.582296790426
199,6857.079466965786
200,3524.597783285796
201,5315.646442665429
202,5334.926494897569
203,5041.154967756356
204,4562.987696370115
205,295.8902048374798
206,4386.499186407827
207,5165.834711193022
208,5253.309013520397
209,4392.752816262346
210,5643.833406709571
211,4383.882983361495
212,1201.7043754339993
213,3377.913263895447
214,6751.706864109816
215,6668.813885023315
216,6536.018636522338
217,7555.640870972169
218,3976.4129184155445
219,6192.604773044024
220,1400.9320359690437
221,7748.1010381445085
222,7437.2489683492695
223,3782.1648942378924
224,6990.073011520182
225,4459.8926203871615
226,2566.9464196644376
227,6365.3357130263375
228,5830.842042567065
229,4816.507553500844
230,6858.111193111068
