,0
0,2409.1087453057535
1,5399.290594763181
2,5801.276050125587
3,3474.306844234052
4,4157.20125562558
5,3761.376498790823
6,4110.862829749765
7,4136.703501598708
8,5942.371130897163
9,6043.425893629543
10,2453.2865652239857
11,3638.7392780790883
12,5872.799011976837
13,5312.078950213319
14,4171.967432928508
15,5455.481401923558
16,5970.51861996004
17,3590.2883644402764
18,5235.019294813789
19,4128.130707442293
20,3693.188691688749
21,5340.688245698765
22,4300.513548850258
23,5465.6328373491615
24,5962.779280163203
25,4184.887491990616
26,5900.946501039714
27,4147.511072897818
28,4126.285142926199
29,4312.511102516683
30,5941.552796466857
31,4123.576875284972
32,3500.308096253911
33,4329.479372343441
34,3553.1068285231427
35,5276.086842938774
36,4246.064135240598
37,4253.908753452268
38,4317.481818677017
39,3636.165537618249
40,3732.3059506075356
41,3517.381090770774
42,4358.088667828887
43,3570.4467462869097
44,5876.0288883111825
45,1860.8480436312282
46,5852.034334703061
47,4299.485765039744
48,5914.328366524391
49,2354.578875493216
50,2530.928185311909
51,3777.065735214161
52,5338.842681182672
53,4173.2371516565545
54,4321.173501433931
55,5919.865613797398
56,4414.383645954641
57,4153.971379291235
58,4176.84854432801
59,3523.841397164191
60,4138.021892246065
61,6000.050420841169
62,3527.2661566742004
63,4103.213094713761
64,2396.7756344545846
65,2410.9543098218464
66,4066.7597347413734
67,2476.3984816167904
68,4072.296982014381
69,5947.446571747601
70,3547.1077748275666
71,5933.603453565084
72,4230.375452541987
73,5415.336359194256
74,4168.081420720658
75,4041.647238837177
76,5716.371776514387
77,5177.800703842897
78,4061.950663413112
79,3635.0475953221744
80,1832.2387481457824
81,5436.101036468033
82,4128.397630689197
83,4226.878652960738
84,5995.897485386414
85,4102.556958840255
86,3638.2780253812466
87,5823.886291915457
88,6012.509227205435
89,4311.94457140401
90,5474.399960956514
91,5419.950547346853
92,5919.403807374829
93,5364.221546609046
94,3786.7559179419236
95,4350.70530231506
96,4121.670954773603
97,5813.734856489853
98,4091.94427071681
99,3685.8058798996485
100,3835.668084278577
101,4190.230409812686
102,4264.060188877871
103,5860.801458310413
104,3781.2186706689167
105,1916.6214130638648
106,3548.9538930683875
107,5807.274550096436
108,5787.894184640911
109,4257.599882484454
110,4358.088667828887
111,3582.1773767064296
112,5872.799011976837
113,5380.266757315393
114,4189.307350692276
115,1942.1409245709726
116,2468.6341534905796
117,4236.1070292659315
118,4332.7092486777865
119,3590.7496171381176
120,5241.479047482479
121,6015.277850841939
122,4356.704356010636
123,5198.104128418832
124,6005.587668114176
125,3676.115697171886
126,3561.217816256989
127,5942.475855587268
128,3558.64407579615
129,5182.876698418063
130,1870.0764199364219
131,4298.563259644061
132,5202.71831657143
133,5818.810851065018
134,5333.305433909665
135,4126.4656571873
136,3763.2226170316435
137,5834.038281065788
138,2457.5596589445654
139,4110.13465380502
140,4336.156738829961
141,3547.5695812501353
142,5360.06861115429
143,6047.578829084298
144,5864.954393765169
145,4368.240103254491
146,4324.865184190845
147,4225.494341142486
148,5913.300582713876
149,2429.4121698816884
150,5314.847573849823
151,6036.965587236125
152,3632.473854861335
153,1849.6932589997555
154,5885.719071038945
155,5855.725463735247
156,5853.418646521313
157,5304.696138424219
158,5443.945100954975
159,6042.964087206974
160,6049.885646298233
161,2530.928185311909
162,4345.629861464621
163,6066.036135419413
164,4177.309797025851
165,5299.620143849053
166,4306.407324131003
167,5760.669754698444
168,6027.275404508363
169,4187.923038874023
170,3757.3288417508993
171,5961.2896899301195
172,4369.163162374902
173,5867.2617647038305
174,4324.046849760539
175,4059.376922952273
176,4192.537227026621
177,6008.8180981732485
178,5740.366330122509
179,3587.0584881059312
180,1885.7656563597602
181,5954.011602831123
182,5371.960886405883
183,3509.9982789816736
184,3563.525187195651
185,3562.335204828336
186,3541.5705275545597
187,3578.2908107738517
188,5419.027488226443
189,4310.099006887916
190,1920.834704513896
191,5467.478401865255
192,1861.3092963290696
193,3683.960315383555
194,3629.049095351326
195,4211.917592482145
196,4151.007872479067
197,3561.873952130495
198,4040.8249576171356
199,5931.757889048991
200,4118.902331137099
201,5207.333058448754
202,5753.487391260626
203,4206.842151631707
204,5190.259510207164
205,3530.9578394311143
206,4374.700409647909
207,4182.3857916010165
208,4246.064135240598
209,3628.126036230916
210,5331.459315668844
211,3699.648998082166
212,2392.497003486732
213,4072.296982014381
214,6006.9719799324275
215,5948.369630868012
216,5344.379928455679
217,5910.175431069636
218,4159.0473738664
219,5775.8971846992135
220,2446.0637798810753
221,6018.508280901011
222,6001.896539081989
223,3647.968208109009
224,6029.120969024456
225,3622.5887889579085
226,3526.3430975537904
227,5288.54564930304
228,5789.278496459163
229,3668.4659621358815
230,5344.379928455679
